time,open,close,high,low,volume
2016-07-29 23:00:00,1.652,1.643,1.685,1.6346,14441.778405699997
2016-07-30 00:00:00,1.647,1.6415,1.669,1.63,11785.452143270006
2016-07-30 01:00:00,1.6472,1.642,1.6492,1.6415,1822.969547829999
2016-07-30 02:00:00,1.642,1.6984,1.71,1.642,24043.564476759988
2016-07-30 03:00:00,1.6946,1.7025,1.705,1.6806,5738.5229365899995
2016-07-30 04:00:00,1.6965,1.6703,1.7,1.6579,4799.372450249999
2016-07-30 05:00:00,1.6799,1.6724,1.692,1.63,15062.61903516
2016-07-30 06:00:00,1.6718,1.65,1.6727,1.63,3340.9589314799996
2016-07-30 07:00:00,1.6571,1.6564,1.6571,1.641,2083.5854165400006
2016-07-30 08:00:00,1.6559,1.6247,1.6565,1.624,3555.8986829999994
2016-07-30 09:00:00,1.625,1.623,1.639,1.622,6295.087408040001
2016-07-30 10:00:00,1.623,1.632,1.6369,1.623,4223.1887006
2016-07-30 11:00:00,1.639,1.642,1.651,1.63,3850.146421220001
2016-07-30 12:00:00,1.6425,1.6411,1.6495,1.638,496.7104239899999
2016-07-30 13:00:00,1.6504,1.642,1.6573,1.635,1532.8780217299998
2016-07-30 14:00:00,1.634,1.6365,1.6459,1.625,4159.13669615
2016-07-30 15:00:00,1.6365,1.64,1.643,1.6102,11338.880150909998
2016-07-30 16:00:00,1.6297,1.5822,1.638,1.55,24823.21976418999
2016-07-30 17:00:00,1.5936,1.5661,1.5945,1.538,28768.599405540077
2016-07-30 18:00:00,1.5666,1.5741,1.5855,1.5624,7152.653434200015
2016-07-30 19:00:00,1.5744,1.6006,1.63,1.572,38753.86952712006
2016-07-30 20:00:00,1.5991,1.5845,1.6042,1.58,6017.298573409999
2016-07-30 21:00:00,1.6003,1.595,1.6086,1.595,1285.72561633
2016-07-30 22:00:00,1.595,1.5601,1.6015,1.5601,13087.653858569998
2016-07-30 23:00:00,1.5601,1.5794,1.589,1.5575,5626.6362672199975
2016-07-31 00:00:00,1.5783,1.599,1.6003,1.5767,12016.272166539997
2016-07-31 01:00:00,1.596,1.6025,1.6039,1.584,2516.15298361
2016-07-31 02:00:00,1.601,1.59,1.6041,1.5575,17844.34451383
2016-07-31 03:00:00,1.593,1.6144,1.6146,1.5848,16765.528337530006
2016-07-31 04:00:00,1.61,1.6189,1.65,1.5972,12769.560900890003
2016-07-31 05:00:00,1.6167,1.6452,1.646,1.6084,10117.44350163
2016-07-31 06:00:00,1.646,1.661,1.6701,1.645,13462.864545549992
2016-07-31 07:00:00,1.661,1.658,1.67,1.6477,2671.13035063
2016-07-31 08:00:00,1.658,1.6488,1.658,1.605,14495.335271939997
2016-07-31 09:00:00,1.6508,1.7311,1.7689,1.6508,52064.64947893999
2016-07-31 10:00:00,1.74,1.7811,1.832,1.731,51353.03425503002
2016-07-31 11:00:00,1.7641,1.789,1.7901,1.73,25809.079490060005
2016-07-31 12:00:00,1.787,1.79,1.84,1.7815,41696.60351815
2016-07-31 13:00:00,1.805,1.842,1.842,1.77,17093.36251734
2016-07-31 14:00:00,1.843,1.8349,1.8707,1.807,59856.68847034
2016-07-31 15:00:00,1.834,1.9163,1.9163,1.81,37640.23591437001
2016-07-31 16:00:00,1.925,1.8679,1.925,1.8115,69176.97779388001
2016-07-31 17:00:00,1.8693,1.8381,1.903,1.81,20723.73427383993
2016-07-31 18:00:00,1.854,1.88,1.934,1.8386,40251.353168789996
2016-07-31 19:00:00,1.89,1.8789,1.905,1.86,11003.098763920003
2016-07-31 20:00:00,1.8789,1.885,1.9111,1.86,9345.53260385
2016-07-31 21:00:00,1.89,1.8709,1.894,1.861,3905.0711128000007
2016-07-31 22:00:00,1.862,1.7765,1.876,1.77,37921.39143408001
2016-07-31 23:00:00,1.7819,1.7979,1.85,1.7701,10432.567467839997
2016-08-01 00:00:00,1.7988,1.787,1.818,1.78,17563.652710759994
2016-08-01 01:00:00,1.8039,1.801,1.841,1.7871,9492.281681380004
2016-08-01 02:00:00,1.806,1.8001,1.8589,1.789,10714.64946191
2016-08-01 03:00:00,1.8,1.795,1.813,1.78,10037.748343939998
2016-08-01 04:00:00,1.7999,1.8,1.841,1.7923,1943.2177512800008
2016-08-01 05:00:00,1.7931,1.815,1.8319,1.793,3337.512052389999
2016-08-01 06:00:00,1.82,1.875,1.883,1.82,37977.688946759976
2016-08-01 07:00:00,1.875,1.9175,1.94,1.831,104327.12018132002
2016-08-01 08:00:00,1.9169,2.1,2.165,1.9169,162717.49163590992
2016-08-01 09:00:00,2.1146,2.1193,2.175,1.97,123397.3337314299
2016-08-01 10:00:00,2.1098,2.19,2.2,2.093,64087.03587408998
2016-08-01 11:00:00,2.186,2.134,2.259,2.1,100757.34042128992
2016-08-01 12:00:00,2.1451,2.141,2.1666,2.1,25945.310495179994
2016-08-01 13:00:00,2.139,2.135,2.1735,2.1198,9545.69508744
2016-08-01 14:00:00,2.136,2.1885,2.23,2.135,34776.65214599001
2016-08-01 15:00:00,2.17,2.18,2.2016,2.1272,21915.87250424999
2016-08-01 16:00:00,2.189,2.147,2.1899,2.042,59552.938266839985
2016-08-01 17:00:00,2.146,2.116,2.161,2.058,25716.331120980005
2016-08-01 18:00:00,2.1025,2.15,2.15,2.0772,12967.270909690005
2016-08-01 19:00:00,2.1463,2.17,2.17,2.1251,26796.317440909996
2016-08-01 20:00:00,2.158,2.1315,2.1738,2.1266,8528.79723768
2016-08-01 21:00:00,2.1301,2.162,2.2094,2.1,73074.37304708999
2016-08-01 22:00:00,2.1798,2.27,2.3299,2.1418,58578.120238439995
2016-08-01 23:00:00,2.279,2.4109,2.425,2.25,105662.26555827998
2016-08-02 00:00:00,2.3775,2.36,2.412,2.3,113270.22261778016
2016-08-02 01:00:00,2.3414,2.37,2.4,2.32,25102.660296149996
2016-08-02 02:00:00,2.362,2.495,2.4999,2.361,66013.00608215004
2016-08-02 03:00:00,2.495,2.51,2.6199,2.37,191872.77026127
2016-08-02 04:00:00,2.5001,2.7994,2.88,2.4901,143806.95124163985
2016-08-02 05:00:00,2.7994,2.599,2.9535,2.36,410469.4291356491
2016-08-02 06:00:00,2.6,2.755,2.9,2.4882,153384.0644384498
2016-08-02 07:00:00,2.775,2.7175,2.875,2.63,96881.63452970004
2016-08-02 08:00:00,2.7175,2.681,2.825,2.62,73934.43864294003
2016-08-02 09:00:00,2.7043,2.6693,2.717,2.6,39375.99185612008
2016-08-02 10:00:00,2.662,2.53,2.691,2.4348,114556.0957935201
2016-08-02 11:00:00,2.53,2.6115,2.63,2.51,48655.49421394004
2016-08-02 12:00:00,2.6115,2.6114,2.707,2.5235,73830.83764009998
2016-08-02 13:00:00,2.6115,2.65,2.6553,2.56,39506.669938420004
2016-08-02 14:00:00,2.65,2.6541,2.75,2.625,38994.759259520004
2016-08-02 15:00:00,2.6799,2.759,2.759,2.601,52742.76292162999
2016-08-02 16:00:00,2.7589,2.8,2.889,2.72,99702.71623778004
2016-08-02 17:00:00,2.7781,2.82,2.855,2.72,46026.27853539001
2016-08-02 18:00:00,2.8529,2.8481,2.8549,2.812,593.3002708
2016-08-10 16:00:00,1.7053,1.79,1.96,1.505,21058.639473630003
2016-08-10 17:00:00,1.7621,1.7354,1.86,1.62,40535.17845295
2016-08-10 18:00:00,1.74,1.6822,1.7649,1.67,18310.40843266
2016-08-10 19:00:00,1.6856,1.6331,1.7,1.6331,33331.44552984998
2016-08-10 20:00:00,1.6469,1.6411,1.6993,1.62,20220.4795436
2016-08-10 21:00:00,1.6699,1.6904,1.72,1.66,18885.230361820002
2016-08-10 22:00:00,1.7,1.69,1.71,1.643,11247.04495417
2016-08-10 23:00:00,1.69,1.65,1.69,1.6102,13174.595520999997
2016-08-11 00:00:00,1.65,1.68,1.7099,1.64,9775.79646789
2016-08-11 01:00:00,1.68,1.663,1.6899,1.6,36449.53097195001
2016-08-11 02:00:00,1.6579,1.6,1.66,1.571,29925.41987991
2016-08-11 03:00:00,1.5752,1.6,1.6,1.556,2036.58866159
2016-08-11 04:00:00,1.6089,1.62,1.63,1.6089,8004.646000430002
2016-08-11 05:00:00,1.62,1.6192,1.62,1.6192,413.53434426
2016-08-11 06:00:00,1.62,1.6,1.62,1.58,13911.209574260001
2016-08-11 07:00:00,1.601,1.7,1.7,1.601,17990.41655784
2016-08-11 08:00:00,1.7,1.86,1.878,1.642,29258.99843091999
2016-08-11 09:00:00,1.8605,1.857,1.8979,1.803,11452.048077279995
2016-08-11 10:00:00,1.865,1.8696,1.889,1.8645,67.49008293
2016-08-11 11:00:00,1.879,1.9291,1.96,1.879,12234.561446960002
2016-08-11 12:00:00,1.935,1.897,1.959,1.897,3425.0435838000003
2016-08-11 13:00:00,1.8905,1.8867,1.95,1.8867,9925.71041706
2016-08-11 14:00:00,1.867,1.819,1.867,1.7899,7271.461356230002
2016-08-11 15:00:00,1.81,1.834,1.86,1.81,7522.553966090001
2016-08-11 16:00:00,1.8415,1.848,1.859,1.8061,4311.54313317
2016-08-11 17:00:00,1.8525,1.9135,1.94,1.8525,15381.975211430004
2016-08-11 18:00:00,1.9049,1.8935,1.9273,1.8935,1062.3655898
